2021-02-20 20:54:43.7910 INFO      Entered Game Controller Index.
2021-02-20 20:54:48.7953 INFO      Button 16 was clicked in Game.
2021-02-20 20:54:50.6292 INFO      Button 15 was clicked in Game.
2021-02-20 20:54:53.0628 INFO      Button 3 was clicked in Game.
2021-02-20 20:54:55.0169 INFO      Button 2 was clicked in Game.
2021-02-20 20:54:56.6392 INFO      Button 1 was clicked in Game.
2021-02-20 20:54:58.4270 INFO      Button 0 was clicked in Game.
2021-02-20 20:55:12.9206 INFO      Button 42 was clicked in Game.
2021-02-20 20:55:15.6445 INFO      Button 36 was clicked in Game.
2021-02-20 20:55:17.2137 INFO      Button 28 was clicked in Game.
2021-02-20 20:55:20.0729 INFO      Button 43 was clicked in Game.
2021-02-20 20:55:21.6519 INFO      Button 35 was clicked in Game.
2021-02-20 20:55:38.4103 INFO      Button 48 was clicked in Game.
